output,Id,Species,hit_count,x,y
190,[99],['Iris-versicolor'],1,-1.0,-7.0
195,"[101, 116, 125, 137, 141, 145, 149]","['Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica']",7,-13.0,-1.0
197,[111],['Iris-virginica'],1,-12.0,-2.0
209,"[127, 128]","['Iris-virginica', 'Iris-virginica']",2,-10.0,-5.0
214,[4],['Iris-setosa'],1,6.0,0.0
215,[3],['Iris-setosa'],1,4.0,7.0
217,[42],['Iris-setosa'],1,8.0,6.0
221,[6],['Iris-setosa'],1,-8.0,5.0
222,[130],['Iris-virginica'],1,-13.0,-2.0
225,[97],['Iris-versicolor'],1,-6.0,-6.0
226,"[69, 88]","['Iris-versicolor', 'Iris-versicolor']",2,-7.0,-7.0
229,[39],['Iris-setosa'],1,9.0,2.0
230,"[60, 81]","['Iris-versicolor', 'Iris-versicolor']",2,-2.0,-7.0
232,"[54, 63, 70]","['Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor']",3,-1.0,-8.0
233,[148],['Iris-virginica'],1,-11.0,-3.0
234,"[142, 146]","['Iris-virginica', 'Iris-virginica']",2,-14.0,-1.0
235,[134],['Iris-virginica'],1,-11.0,-5.0
238,[5],['Iris-setosa'],1,-1.0,6.0
239,[19],['Iris-setosa'],1,-7.0,6.0
240,[33],['Iris-setosa'],1,-6.0,7.0
241,"[51, 53, 77, 87]","['Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor']",4,-13.0,2.0
243,"[71, 139]","['Iris-versicolor', 'Iris-virginica']",2,-9.0,-7.0
245,[83],['Iris-versicolor'],1,-4.0,-5.0
247,[92],['Iris-versicolor'],1,-9.0,-2.0
249,"[117, 138]","['Iris-virginica', 'Iris-virginica']",2,-12.0,-4.0
250,"[11, 37, 49]","['Iris-setosa', 'Iris-setosa', 'Iris-setosa']",3,-5.0,7.0
251,"[103, 121, 144]","['Iris-virginica', 'Iris-virginica', 'Iris-virginica']",3,-14.0,-2.0
252,[124],['Iris-virginica'],1,-11.0,-6.0
256,[26],['Iris-setosa'],1,4.0,-3.0
257,[95],['Iris-versicolor'],1,-5.0,-6.0
258,[59],['Iris-versicolor'],1,-11.0,4.0
260,[9],['Iris-setosa'],1,9.0,4.0
264,"[58, 61, 94]","['Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor']",3,1.0,-8.0
265,"[113, 140]","['Iris-virginica', 'Iris-virginica']",2,-13.0,-4.0
266,[112],['Iris-virginica'],1,-12.0,-6.0
267,"[84, 135]","['Iris-versicolor', 'Iris-virginica']",2,-11.0,-7.0
270,"[56, 67, 85, 91, 107]","['Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor', 'Iris-virginica']",5,-7.0,-8.0
272,[23],['Iris-setosa'],1,3.0,7.0
273,[7],['Iris-setosa'],1,4.0,8.0
274,"[90, 93]","['Iris-versicolor', 'Iris-versicolor']",2,-3.0,-7.0
277,"[1, 29]","['Iris-setosa', 'Iris-setosa']",2,-2.0,6.0
278,"[73, 120, 147]","['Iris-versicolor', 'Iris-virginica', 'Iris-virginica']",3,-9.0,-8.0
279,"[106, 108, 110, 118, 119, 123, 126, 131, 132, 136]","['Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica']",10,-15.0,-1.0
280,"[102, 114, 115, 122, 143, 150]","['Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica']",6,-10.0,-8.0
282,"[104, 105, 109, 129, 133]","['Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica']",5,-13.0,-5.0
286,[14],['Iris-setosa'],1,10.0,3.0
287,[18],['Iris-setosa'],1,0.0,7.0
