node_names,node_coords
root;2;6;11;12;22;31;45;56;62;68;95;130;154;201;238;274,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-8,2);(-9,2);(-10,2);(-11,2);(-12,2);(-13,2);(-13,3)"
root;2;6;11;12;22;31;45;56;62;68;95;130;154;201;239,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-8,2);(-9,2);(-10,2);(-11,2);(-12,2);(-12,3)"
root;2;6;11;12;22;31;45;56;62;68;95;130;154;202;278;310,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-8,2);(-9,2);(-10,2);(-11,2);(-11,3);(-11,4);(-12,4)"
root;2;6;11;12;22;31;45;56;62;68;95;130;154;202;278;311,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-8,2);(-9,2);(-10,2);(-11,2);(-11,3);(-11,4);(-10,4)"
root;2;6;11;12;22;31;45;56;62;68;95;130;154;202;278;312,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-8,2);(-9,2);(-10,2);(-11,2);(-11,3);(-11,4);(-11,5)"
root;2;6;11;12;22;31;45;56;62;68;95;130;155,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-8,2);(-9,2);(-10,2);(-10,3)"
root;2;6;11;12;22;31;45;56;62;68;95;131,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-8,2);(-9,2);(-9,3)"
root;2;6;11;12;22;31;45;56;62;68;96,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-8,2);(-8,3)"
root;2;6;11;12;22;31;45;56;62;69,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,3)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;173,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-12,1)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;178;185;232,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-12,0);(-13,0);(-14,0)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;178;185;233,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-12,0);(-13,0);(-13,1)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;178;185;234,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-12,0);(-13,0);(-13,-1)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;178;186,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-12,0);(-12,-1)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;192,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-10,-1)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;246;258;292;319;379;400;440;566,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-13,-2);(-14,-2);(-15,-2);(-16,-2);(-17,-2);(-18,-2);(-19,-2);(-20,-2)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;246;258;292;319;379;400;440;567;673;768;857,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-13,-2);(-14,-2);(-15,-2);(-16,-2);(-17,-2);(-18,-2);(-19,-2);(-19,-3);(-20,-3);(-21,-3);(-22,-3)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;246;258;292;319;379;400;440;567;673;768;858,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-13,-2);(-14,-2);(-15,-2);(-16,-2);(-17,-2);(-18,-2);(-19,-2);(-19,-3);(-20,-3);(-21,-3);(-21,-2)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;246;258;292;319;379;400;440;567;673;768;859,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-13,-2);(-14,-2);(-15,-2);(-16,-2);(-17,-2);(-18,-2);(-19,-2);(-19,-3);(-20,-3);(-21,-3);(-21,-4)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;246;258;292;319;379;400;440;567;673;769,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-13,-2);(-14,-2);(-15,-2);(-16,-2);(-17,-2);(-18,-2);(-19,-2);(-19,-3);(-20,-3);(-20,-4)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;246;258;292;319;379;400;440;567;674,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-13,-2);(-14,-2);(-15,-2);(-16,-2);(-17,-2);(-18,-2);(-19,-2);(-19,-3);(-19,-4)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;246;258;292;319;379;400;441;528,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-13,-2);(-14,-2);(-15,-2);(-16,-2);(-17,-2);(-18,-2);(-18,-1);(-19,-1)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;246;258;292;319;379;400;441;529,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-13,-2);(-14,-2);(-15,-2);(-16,-2);(-17,-2);(-18,-2);(-18,-1);(-18,0)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;246;258;292;319;379;400;442,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-13,-2);(-14,-2);(-15,-2);(-16,-2);(-17,-2);(-18,-2);(-18,-3)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;246;258;292;319;379;401,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-13,-2);(-14,-2);(-15,-2);(-16,-2);(-17,-2);(-17,-1)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;246;258;292;319;379;402,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-13,-2);(-14,-2);(-15,-2);(-16,-2);(-17,-2);(-17,-3)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;246;258;292;319;380,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-13,-2);(-14,-2);(-15,-2);(-16,-2);(-16,-1)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;246;258;292;319;381,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-13,-2);(-14,-2);(-15,-2);(-16,-2);(-16,-3)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;246;258;292;320,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-13,-2);(-14,-2);(-15,-2);(-15,-1)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;246;258;292;321,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-13,-2);(-14,-2);(-15,-2);(-15,-3)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;246;258;293,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-13,-2);(-14,-2);(-14,-1)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;253;279;347;391;422,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-13,-3);(-14,-3);(-14,-4);(-15,-4);(-16,-4)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;253;279;347;391;423;451;588;671,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-13,-3);(-14,-3);(-14,-4);(-15,-4);(-15,-5);(-16,-5);(-17,-5);(-18,-5)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;253;279;347;391;423;451;588;672,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-13,-3);(-14,-3);(-14,-4);(-15,-4);(-15,-5);(-16,-5);(-17,-5);(-17,-4)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;253;279;347;391;423;452;512;580,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-13,-3);(-14,-3);(-14,-4);(-15,-4);(-15,-5);(-15,-6);(-16,-6);(-17,-6)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;253;279;347;391;423;452;512;581;660;713;782,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-13,-3);(-14,-3);(-14,-4);(-15,-4);(-15,-5);(-15,-6);(-16,-6);(-16,-7);(-17,-7);(-18,-7);(-19,-7)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;253;279;347;391;423;452;512;581;660;713;783,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-13,-3);(-14,-3);(-14,-4);(-15,-4);(-15,-5);(-15,-6);(-16,-6);(-16,-7);(-17,-7);(-18,-7);(-18,-6)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;253;279;347;391;423;452;512;581;660;713;784,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-13,-3);(-14,-3);(-14,-4);(-15,-4);(-15,-5);(-15,-6);(-16,-6);(-16,-7);(-17,-7);(-18,-7);(-18,-8)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;253;279;347;391;423;452;512;581;660;714,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-13,-3);(-14,-3);(-14,-4);(-15,-4);(-15,-5);(-15,-6);(-16,-6);(-16,-7);(-17,-7);(-17,-8)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;253;279;347;391;423;452;512;581;661,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-13,-3);(-14,-3);(-14,-4);(-15,-4);(-15,-5);(-15,-6);(-16,-6);(-16,-7);(-16,-8)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;253;279;347;391;423;452;513,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-13,-3);(-14,-3);(-14,-4);(-15,-4);(-15,-5);(-15,-6);(-14,-6)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;253;279;347;391;423;452;514,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-13,-3);(-14,-3);(-14,-4);(-15,-4);(-15,-5);(-15,-6);(-15,-7)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;253;279;347;392,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-13,-3);(-14,-3);(-14,-4);(-14,-5)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;253;280,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-13,-3);(-13,-4)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;254;285,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-12,-4);(-11,-4)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;254;286;313,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-12,-4);(-12,-5);(-13,-5)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;254;286;314,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-12,-4);(-12,-5);(-11,-5)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;254;286;315;352,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-12,-4);(-12,-5);(-12,-6);(-13,-6)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;254;286;315;353,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-12,-4);(-12,-5);(-12,-6);(-11,-6)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;254;286;315;354;376;410,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-12,-4);(-12,-5);(-12,-6);(-12,-7);(-13,-7);(-14,-7)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;254;286;315;354;376;411;443;462,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-12,-4);(-12,-5);(-12,-6);(-12,-7);(-13,-7);(-13,-8);(-14,-8);(-15,-8)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;254;286;315;354;376;411;443;463;539,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-12,-4);(-12,-5);(-12,-6);(-12,-7);(-13,-7);(-13,-8);(-14,-8);(-14,-9);(-15,-9)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;254;286;315;354;376;411;443;463;540;626;686,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-12,-4);(-12,-5);(-12,-6);(-12,-7);(-13,-7);(-13,-8);(-14,-8);(-14,-9);(-14,-10);(-15,-10);(-16,-10)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;254;286;315;354;376;411;443;463;540;626;687;727;802;831,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-12,-4);(-12,-5);(-12,-6);(-12,-7);(-13,-7);(-13,-8);(-14,-8);(-14,-9);(-14,-10);(-15,-10);(-15,-11);(-16,-11);(-17,-11);(-18,-11)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;254;286;315;354;376;411;443;463;540;626;687;727;802;832,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-12,-4);(-12,-5);(-12,-6);(-12,-7);(-13,-7);(-13,-8);(-14,-8);(-14,-9);(-14,-10);(-15,-10);(-15,-11);(-16,-11);(-17,-11);(-17,-10)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;254;286;315;354;376;411;443;463;540;626;687;727;802;833,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-12,-4);(-12,-5);(-12,-6);(-12,-7);(-13,-7);(-13,-8);(-14,-8);(-14,-9);(-14,-10);(-15,-10);(-15,-11);(-16,-11);(-17,-11);(-17,-12)"
root;2;6;11;12;22;31;45;56;62;70;83;108;128;132;174;179;193;227;247;254;286;315;354;376;411;443;463;540;626;687;727;803,"(0.01,0.01);(0,1);(-1,1);(-1,2);(-2,2);(-3,2);(-4,2);(-5,2);(-6,2);(-7,2);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1);(-11,0);(-11,-1);(-11,-2);(-12,-2);(-12,-3);(-12,-4);(-12,-5);(-12,-6);(-12,-7);(-13,-7);(-13,-8);(-14,-8);(-14,-9);(-14,-10);(-15,-10);(-15,-11);(-16,-11);(-16,-12)"
