node_names,node_coords
root;0;5;8;12;15;21;32;44;46;54;75;82;188,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(3,6);(4,6);(5,6);(6,6);(6,7);(6,8)"
root;0;5;8;12;15;21;32;44;46;54;75;83,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(3,6);(4,6);(5,6);(6,6);(6,5)"
root;0;5;8;12;15;21;32;44;46;54;76,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(3,6);(4,6);(5,6);(5,7)"
root;0;5;8;12;15;21;32;44;46;54;77,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(3,6);(4,6);(5,6);(5,5)"
root;0;5;8;12;15;21;32;44;47;51;105;137,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(3,6);(3,7);(2,7);(1,7);(0,7)"
root;0;5;8;12;15;21;32;44;47;51;105;138,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(3,6);(3,7);(2,7);(1,7);(1,6)"
root;0;5;8;12;15;21;32;44;47;51;106;107;314,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(3,6);(3,7);(2,7);(2,8);(1,8);(0,8)"
root;0;5;8;12;15;21;32;44;47;51;106;108;139;185,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(3,6);(3,7);(2,7);(2,8);(2,9);(1,9);(0,9)"
root;0;5;8;12;15;21;32;44;47;51;106;108;140;278,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(3,6);(3,7);(2,7);(2,8);(2,9);(3,9);(4,9)"
root;0;5;8;12;15;21;32;44;47;51;106;108;141;163,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(3,6);(3,7);(2,7);(2,8);(2,9);(2,10);(1,10)"
root;0;5;8;12;15;21;32;44;47;51;106;108;141;164;279,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(3,6);(3,7);(2,7);(2,8);(2,9);(2,10);(3,10);(4,10)"
root;0;5;8;12;15;21;32;44;47;51;106;108;141;165;226;298,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(3,6);(3,7);(2,7);(2,8);(2,9);(2,10);(2,11);(1,11);(0,11)"
root;0;5;8;12;15;21;32;44;47;51;106;108;141;165;226;299,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(3,6);(3,7);(2,7);(2,8);(2,9);(2,10);(2,11);(1,11);(1,12)"
root;0;5;8;12;15;21;32;44;47;51;106;108;141;165;227,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(3,6);(3,7);(2,7);(2,8);(2,9);(2,10);(2,11);(3,11)"
root;0;5;8;12;15;21;32;44;47;51;106;108;141;165;228,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(3,6);(3,7);(2,7);(2,8);(2,9);(2,10);(2,11);(2,12)"
root;0;5;8;12;15;21;32;44;47;52,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(3,6);(3,7);(4,7)"
root;0;5;8;12;15;21;32;44;47;53,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(3,4);(3,5);(3,6);(3,7);(3,8)"
root;0;5;8;12;15;22,"(0.01,0.01);(1,1);(1,2);(1,3);(2,3);(2,4);(2,5)"
root;0;5;8;13,"(0.01,0.01);(1,1);(1,2);(1,3);(1,4)"
root;1,"(0.01,0.01);(1,0)"
root;2,"(0.01,0.01);(0,1)"
root;3;9;29;37;61;73;91;123;178,"(0.01,0.01);(0,0);(-1,0);(-2,0);(-3,0);(-4,0);(-5,0);(-6,0);(-7,0);(-8,0)"
root;3;9;29;37;61;73;91;124;157;213;222;255;293,"(0.01,0.01);(0,0);(-1,0);(-2,0);(-3,0);(-4,0);(-5,0);(-6,0);(-6,1);(-7,1);(-8,1);(-9,1);(-10,1);(-11,1)"
root;3;9;29;37;61;73;91;124;157;213;222;256;280;308,"(0.01,0.01);(0,0);(-1,0);(-2,0);(-3,0);(-4,0);(-5,0);(-6,0);(-6,1);(-7,1);(-8,1);(-9,1);(-9,2);(-10,2);(-11,2)"
root;3;9;29;37;61;73;91;124;157;213;222;256;280;309,"(0.01,0.01);(0,0);(-1,0);(-2,0);(-3,0);(-4,0);(-5,0);(-6,0);(-6,1);(-7,1);(-8,1);(-9,1);(-9,2);(-10,2);(-10,3)"
root;3;9;29;37;61;73;91;124;157;213;222;256;281;319,"(0.01,0.01);(0,0);(-1,0);(-2,0);(-3,0);(-4,0);(-5,0);(-6,0);(-6,1);(-7,1);(-8,1);(-9,1);(-9,2);(-9,3);(-9,4)"
root;3;9;29;37;61;73;91;124;157;213;223,"(0.01,0.01);(0,0);(-1,0);(-2,0);(-3,0);(-4,0);(-5,0);(-6,0);(-6,1);(-7,1);(-8,1);(-8,2)"
root;3;9;29;37;61;73;91;124;157;214,"(0.01,0.01);(0,0);(-1,0);(-2,0);(-3,0);(-4,0);(-5,0);(-6,0);(-6,1);(-7,1);(-7,2)"
root;3;9;29;37;61;73;91;124;158,"(0.01,0.01);(0,0);(-1,0);(-2,0);(-3,0);(-4,0);(-5,0);(-6,0);(-6,1);(-6,2)"
root;3;9;29;37;61;73;91;125,"(0.01,0.01);(0,0);(-1,0);(-2,0);(-3,0);(-4,0);(-5,0);(-6,0);(-6,-1)"
root;3;9;29;37;61;73;92,"(0.01,0.01);(0,0);(-1,0);(-2,0);(-3,0);(-4,0);(-5,0);(-5,1)"
root;3;9;29;37;61;73;93,"(0.01,0.01);(0,0);(-1,0);(-2,0);(-3,0);(-4,0);(-5,0);(-5,-1)"
root;3;9;29;37;61;74;96;99,"(0.01,0.01);(0,0);(-1,0);(-2,0);(-3,0);(-4,0);(-4,1);(-4,2);(-5,2)"
root;3;9;29;37;61;74;96;100,"(0.01,0.01);(0,0);(-1,0);(-2,0);(-3,0);(-4,0);(-4,1);(-4,2);(-3,2)"
root;3;9;29;37;61;74;96;101;120;166;208;257;305,"(0.01,0.01);(0,0);(-1,0);(-2,0);(-3,0);(-4,0);(-4,1);(-4,2);(-4,3);(-5,3);(-6,3);(-7,3);(-8,3);(-8,4)"
root;3;9;29;37;61;74;96;101;120;166;208;258;321,"(0.01,0.01);(0,0);(-1,0);(-2,0);(-3,0);(-4,0);(-4,1);(-4,2);(-4,3);(-5,3);(-6,3);(-7,3);(-7,4);(-7,5)"
root;3;9;29;37;61;74;96;101;120;167;189;272;332,"(0.01,0.01);(0,0);(-1,0);(-2,0);(-3,0);(-4,0);(-4,1);(-4,2);(-4,3);(-5,3);(-5,4);(-6,4);(-6,5);(-6,6)"
root;3;9;29;37;61;74;96;101;120;167;190,"(0.01,0.01);(0,0);(-1,0);(-2,0);(-3,0);(-4,0);(-4,1);(-4,2);(-4,3);(-5,3);(-5,4);(-5,5)"
root;3;9;29;37;61;74;96;101;121,"(0.01,0.01);(0,0);(-1,0);(-2,0);(-3,0);(-4,0);(-4,1);(-4,2);(-4,3);(-3,3)"
root;3;9;29;37;61;74;96;101;122,"(0.01,0.01);(0,0);(-1,0);(-2,0);(-3,0);(-4,0);(-4,1);(-4,2);(-4,3);(-4,4)"
root;3;9;29;37;62,"(0.01,0.01);(0,0);(-1,0);(-2,0);(-3,0);(-3,1)"
root;3;9;29;38;102,"(0.01,0.01);(0,0);(-1,0);(-2,0);(-2,1);(-2,2)"
root;3;9;30;42,"(0.01,0.01);(0,0);(-1,0);(-1,1);(-1,2)"
root;3;10;16;26;35;71;94;126;130;145;151;170;191;209;217;234;248;265;288;311;331,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-9,-2);(-10,-2);(-11,-2);(-12,-2);(-13,-2);(-14,-2);(-15,-2);(-16,-2);(-17,-2);(-18,-2)"
root;3;10;16;26;35;71;94;126;130;145;151;170;191;209;217;234;249;263;276;304;329,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-9,-2);(-10,-2);(-11,-2);(-12,-2);(-13,-2);(-13,-3);(-14,-3);(-15,-3);(-16,-3);(-17,-3)"
root;3;10;16;26;35;71;94;126;130;145;151;170;191;209;217;234;249;263;277;294;318;335,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-9,-2);(-10,-2);(-11,-2);(-12,-2);(-13,-2);(-13,-3);(-14,-3);(-14,-4);(-15,-4);(-16,-4);(-17,-4)"
root;3;10;16;26;35;71;94;126;130;145;151;170;191;209;217;234;249;263;277;294;318;336,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-9,-2);(-10,-2);(-11,-2);(-12,-2);(-13,-2);(-13,-3);(-14,-3);(-14,-4);(-15,-4);(-16,-4);(-16,-5)"
root;3;10;16;26;35;71;94;126;130;145;151;170;191;209;217;234;249;263;277;295;312,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-9,-2);(-10,-2);(-11,-2);(-12,-2);(-13,-2);(-13,-3);(-14,-3);(-14,-4);(-14,-5);(-15,-5)"
root;3;10;16;26;35;71;94;126;130;145;151;170;191;209;217;234;249;263;277;295;313;337,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-9,-2);(-10,-2);(-11,-2);(-12,-2);(-13,-2);(-13,-3);(-14,-3);(-14,-4);(-14,-5);(-14,-6);(-15,-6)"
root;3;10;16;26;35;71;94;126;130;145;151;170;191;209;217;234;249;263;277;295;313;338,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-9,-2);(-10,-2);(-11,-2);(-12,-2);(-13,-2);(-13,-3);(-14,-3);(-14,-4);(-14,-5);(-14,-6);(-14,-7)"
root;3;10;16;26;35;71;94;126;130;145;151;170;191;209;217;234;249;264,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-9,-2);(-10,-2);(-11,-2);(-12,-2);(-13,-2);(-13,-3);(-13,-4)"
root;3;10;16;26;35;71;94;126;130;145;151;170;191;209;217;235,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-9,-2);(-10,-2);(-11,-2);(-12,-2);(-12,-3)"
root;3;10;16;26;35;71;94;126;130;145;151;170;191;209;218;239;261,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-9,-2);(-10,-2);(-11,-2);(-11,-3);(-11,-4);(-12,-4)"
root;3;10;16;26;35;71;94;126;130;145;151;170;191;209;218;239;262;290;306;320,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-9,-2);(-10,-2);(-11,-2);(-11,-3);(-11,-4);(-11,-5);(-12,-5);(-13,-5);(-13,-6)"
root;3;10;16;26;35;71;94;126;130;145;151;170;191;209;218;239;262;290;307,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-9,-2);(-10,-2);(-11,-2);(-11,-3);(-11,-4);(-11,-5);(-12,-5);(-12,-6)"
root;3;10;16;26;35;71;94;126;130;145;151;170;191;209;218;239;262;291,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-9,-2);(-10,-2);(-11,-2);(-11,-3);(-11,-4);(-11,-5);(-11,-6)"
root;3;10;16;26;35;71;94;126;130;145;151;170;191;210,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-9,-2);(-10,-2);(-10,-3)"
root;3;10;16;26;35;71;94;126;130;145;151;170;192;236;253;273,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-9,-2);(-9,-3);(-9,-4);(-10,-4);(-10,-5)"
root;3;10;16;26;35;71;94;126;130;145;151;170;192;236;254,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-9,-2);(-9,-3);(-9,-4);(-9,-5)"
root;3;10;16;26;35;71;94;126;130;145;151;171;182;198;211;224;237;251;274;296;322,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-8,-1);(-9,-1);(-10,-1);(-11,-1);(-12,-1);(-13,-1);(-14,-1);(-15,-1);(-16,-1);(-17,-1)"
root;3;10;16;26;35;71;94;126;130;145;151;171;182;198;211;224;237;251;274;296;323,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-8,-1);(-9,-1);(-10,-1);(-11,-1);(-12,-1);(-13,-1);(-14,-1);(-15,-1);(-16,-1);(-16,0)"
root;3;10;16;26;35;71;94;126;130;145;151;171;182;198;211;224;237;251;274;297;326,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-8,-1);(-9,-1);(-10,-1);(-11,-1);(-12,-1);(-13,-1);(-14,-1);(-15,-1);(-15,0);(-15,1)"
root;3;10;16;26;35;71;94;126;130;145;151;171;182;198;211;224;237;251;275,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-8,-1);(-9,-1);(-10,-1);(-11,-1);(-12,-1);(-13,-1);(-14,-1);(-14,0)"
root;3;10;16;26;35;71;94;126;130;145;151;171;182;198;211;224;237;252;310,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-8,-1);(-9,-1);(-10,-1);(-11,-1);(-12,-1);(-13,-1);(-13,0);(-13,1)"
root;3;10;16;26;35;71;94;126;130;145;151;171;182;198;211;224;238;289;330,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-8,-1);(-9,-1);(-10,-1);(-11,-1);(-12,-1);(-12,0);(-12,1);(-12,2)"
root;3;10;16;26;35;71;94;126;130;145;151;171;182;198;211;225,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-8,-1);(-9,-1);(-10,-1);(-11,-1);(-11,0)"
root;3;10;16;26;35;71;94;126;130;145;151;171;182;198;212,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-8,-1);(-9,-1);(-10,-1);(-10,0)"
root;3;10;16;26;35;71;94;126;130;145;151;171;182;199,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-8,-1);(-9,-1);(-9,0)"
root;3;10;16;26;35;71;94;126;130;145;151;172,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-8,-2);(-8,-3)"
root;3;10;16;26;35;71;94;126;130;145;152,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-7,-1)"
root;3;10;16;26;35;71;94;126;130;145;153,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-6,-2);(-7,-2);(-7,-3)"
root;3;10;16;26;35;71;94;126;131;135,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-5,-3);(-6,-3)"
root;3;10;16;26;35;71;94;126;131;136;149;177;193,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-5,-3);(-5,-4);(-6,-4);(-7,-4);(-8,-4)"
root;3;10;16;26;35;71;94;126;131;136;149;177;194;240,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-5,-3);(-5,-4);(-6,-4);(-7,-4);(-7,-5);(-8,-5)"
root;3;10;16;26;35;71;94;126;131;136;150;154,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-5,-3);(-5,-4);(-5,-5);(-6,-5)"
root;3;10;16;26;35;71;94;126;131;136;150;155,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-5,-3);(-5,-4);(-5,-5);(-4,-5)"
root;3;10;16;26;35;71;94;126;131;136;150;156;179;200;219;241;284,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-5,-3);(-5,-4);(-5,-5);(-5,-6);(-6,-6);(-7,-6);(-8,-6);(-9,-6);(-10,-6)"
root;3;10;16;26;35;71;94;126;131;136;150;156;179;200;219;242;282;302,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-5,-3);(-5,-4);(-5,-5);(-5,-6);(-6,-6);(-7,-6);(-8,-6);(-8,-7);(-9,-7);(-10,-7)"
root;3;10;16;26;35;71;94;126;131;136;150;156;179;200;219;242;282;303,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-5,-3);(-5,-4);(-5,-5);(-5,-6);(-6,-6);(-7,-6);(-8,-6);(-8,-7);(-9,-7);(-9,-8)"
root;3;10;16;26;35;71;94;126;131;136;150;156;179;200;219;242;283,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-5,-3);(-5,-4);(-5,-5);(-5,-6);(-6,-6);(-7,-6);(-8,-6);(-8,-7);(-8,-8)"
root;3;10;16;26;35;71;94;126;131;136;150;156;179;200;220;250;292,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-5,-3);(-5,-4);(-5,-5);(-5,-6);(-6,-6);(-7,-6);(-7,-7);(-7,-8);(-7,-9)"
root;3;10;16;26;35;71;94;126;131;136;150;156;180,"(0.01,0.01);(0,0);(0,-1);(-1,-1);(-2,-1);(-3,-1);(-4,-1);(-4,-2);(-5,-2);(-5,-3);(-5,-4);(-5,-5);(-5,-6);(-4,-6)"
