name,node_idx,x,y,feature_importance,label
10,228,-6.0,-4.0,"[0.03180114034964588, 0.0013297971942070569, 0.04357138859351425, 0.03427471154402671, 0.00428614697613715, 0.10133523631443206, 0.199615601991876, 0.0196561037509592, 0.007841963433636209, 0.003916874171350466, 0.006897271130171686, 9.070786214559439e-06, 0.009372779980150289, 0.2944851527440795, 0.10696849555087752, 0.13463826548872132]",1
11,278,5.0,-1.0,"[0.004299332294496534, 0.014540625172330356, 0.003205287019250708, 0.0032680725152362208, 0.03037193328151306, 0.02460167469477655, 0.04021622134451685, 0.006915408158274972, 0.004712263883280849, 0.0016992879786296871, 0.0021039866094255248, 0.0014620714047938591, 0.03177730120688276, 0.007618516082036133, 0.7711702863490976, 0.052037732005458366]",2
12,258,12.0,9.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",4
13,196,2.0,11.0,"[7.088216001585654e-05, 0.0012727033269225652, 0.016617644326956955, 6.938324804486578e-05, 0.0003812244622605637, 0.1201422262996283, 0.2910728165544357, 0.04095063229446332, 0.04220261748777412, 0.29604510903271997, 0.10495048122682035, 0.020129088281708535, 0.0029403239184301005, 0.04216584318131324, 8.711269345266924e-05, 0.020901911505052943]",7
14,108,0.0,-2.0,"[0.06750040614574619, 0.005061285077229509, 0.01799813628736645, 0.01782339411113479, 0.0639919074415914, 0.10688959015086005, 0.08665584324312581, 0.05097420296747824, 0.06841215073702597, 0.14356553754380416, 0.038094088738623855, 3.177344574127091e-05, 0.24144888817583238, 0.04898041312836572, 0.014449249228656518, 0.028123133577417584]",7
15,293,0.0,-8.0,"[0.05512608153607023, 0.0007602513655935032, 0.0456835471603789, 0.0017962224981483532, 0.08943494140741579, 0.17379401825627908, 0.1104534440155003, 0.0038182320874087785, 0.005449809188605619, 0.17615748196495012, 0.0721533371958484, 5.154186544605685e-06, 0.15729848154725345, 0.04809768570848758, 0.013689088093853177, 0.04628222378766203]",7
16,188,9.0,1.0,"[0.004928995255476835, 0.015007981369499794, 0.012584726719731138, 0.012594448496837279, 0.01911706635671067, 0.5242787393612114, 0.22795147182726028, 0.01317921137653743, 0.0011318081833211879, 0.0004020991997030929, 0.00044532360739009413, 0.01224543000792654, 0.016996994145603638, 0.005558594123080995, 0.021461453116514227, 0.11211565685319544]",2
17,131,-9.0,1.0,"[0.003128148487081474, 0.0001500784671502862, 0.004129147182037676, 0.003361775331991353, 0.000434037586571271, 0.00531608878686675, 0.10479940265210907, 0.0017547086361344047, 0.0007176832123743694, 0.00033606413357073717, 0.0006769575842572915, 1.0728247106590827e-06, 0.0008509652078840369, 0.08000384968665644, 0.4749655566855218, 0.3193744635350825]",1
18,325,2.0,17.0,"[2.9224276799634147e-05, 0.000489498427017331, 0.11739030611331847, 2.8621717037391704e-05, 0.00014516960100579497, 0.03894586988772019, 0.021198376603164266, 0.04881965485516984, 0.04834735452194938, 0.029033324793715294, 0.2988693172371649, 0.17372227397216522, 0.0011180400750134987, 0.0483615032300355, 3.380389761366879e-05, 0.17346766079110956]",4
19,333,14.0,4.0,"[0.3618017007681424, 0.02869672111735638, 0.028937261790482408, 0.028935826601878385, 0.028358066127798953, 0.008404212505182966, 0.007883361905660923, 0.028878466948136835, 0.0001084906372239244, 4.250148951742015e-05, 4.099657324301221e-05, 0.02896641390524365, 0.05860730869613079, 0.3618673613021408, 0.0018368000727287813, 0.026634509559132404]",1
20,278,5.0,-1.0,"[0.004299332294496534, 0.014540625172330356, 0.003205287019250708, 0.0032680725152362208, 0.03037193328151306, 0.02460167469477655, 0.04021622134451685, 0.006915408158274972, 0.004712263883280849, 0.0016992879786296871, 0.0021039866094255248, 0.0014620714047938591, 0.03177730120688276, 0.007618516082036133, 0.7711702863490976, 0.052037732005458366]",2
21,211,9.0,2.0,"[0.004483375997980088, 0.013653005918089997, 0.011436948511662342, 0.011445830336809607, 0.01743351888094365, 0.20293344721572545, 0.45355902635972933, 0.011980802795065916, 0.0010349663591714454, 0.000367923512917843, 0.00040722828592139055, 0.011126922586310959, 0.015402103004549732, 0.005059180826317837, 0.019620080130647723, 0.22005563927815674]",2
22,131,-9.0,1.0,"[0.003128148487081474, 0.0001500784671502862, 0.004129147182037676, 0.003361775331991353, 0.000434037586571271, 0.00531608878686675, 0.10479940265210907, 0.0017547086361344047, 0.0007176832123743694, 0.00033606413357073717, 0.0006769575842572915, 1.0728247106590827e-06, 0.0008509652078840369, 0.08000384968665644, 0.4749655566855218, 0.3193744635350825]",1
23,170,4.0,3.0,"[0.008947775877141477, 0.04373126145288276, 0.005928707361897472, 0.006429555602261957, 0.15706947721414458, 0.06578352130566957, 0.16127510593195543, 0.024355322826467227, 0.010443663976778907, 0.00550392739005369, 0.0062583100558329914, 0.0017423379344446127, 0.0952526307387443, 0.023142860535294067, 0.06645480438802387, 0.3176807374084071]",2
24,261,0.0,-7.0,"[0.1019993125273898, 0.001239252550658123, 0.030807680293121836, 0.00304600731120632, 0.2172389045655356, 0.09695192910449575, 0.18670038103194653, 0.006626660147351345, 0.009371759431112658, 0.09278862388317922, 0.07995695620469837, 8.391785652924631e-06, 0.0805736310390122, 0.03495352359540457, 0.025193712371700924, 0.03254327415753382]",6
25,9,-1.0,2.0,"[0.061213615379735346, 0.009451134910073059, 0.037741523400719554, 0.0503798974625073, 0.021491231143577035, 0.09710168996712971, 0.16192635454512022, 0.07324577105287833, 0.03546192977082065, 0.01869428549158894, 0.12240721888577215, 5.970455496367983e-05, 0.033182600177822937, 0.2131179833084874, 0.007059666499008303, 0.05746539344979531]",5
26,9,-1.0,2.0,"[0.045146110044912105, 0.006970376999505262, 0.027835032421162594, 0.03715605393970404, 0.01585015817461043, 0.07161419160767643, 0.11942351348006684, 0.054020034918120186, 0.026153792320660924, 0.013787361925590075, 0.35276000241084454, 4.4033151642030106e-05, 0.024472746951983596, 0.15717823342582501, 0.005206627294719774, 0.042381730932976085]",5
27,184,-3.0,7.0,"[0.006464683135492198, 0.0001862110990087728, 0.006674289216069109, 0.006617800084680973, 0.44837920364291745, 0.03818716445179209, 0.07090811443401351, 0.0027404383086219205, 0.0023273768736659156, 0.000748383081871268, 0.001289526287032934, 0.03392349892286056, 0.0070990389752801555, 0.11410453055464338, 0.03224697432287498, 0.22810276660917478]",1
28,131,-9.0,1.0,"[0.003128148487081474, 0.0001500784671502862, 0.004129147182037676, 0.003361775331991353, 0.000434037586571271, 0.00531608878686675, 0.10479940265210907, 0.0017547086361344047, 0.0007176832123743694, 0.00033606413357073717, 0.0006769575842572915, 1.0728247106590827e-06, 0.0008509652078840369, 0.08000384968665644, 0.4749655566855218, 0.3193744635350825]",1
29,266,-8.0,7.0,"[0.00012256626864971088, 1.1244964189351954e-05, 0.00012735930546205646, 0.00012711360075946503, 0.03559990361571824, 0.13137186088633124, 0.1421710464348424, 3.7876455742217356e-05, 2.2453546689212268e-05, 1.4359624286235919e-05, 2.604744191694479e-05, 0.13130107410437572, 0.0002744444880765767, 0.231267515487976, 0.27353067015512206, 0.053994463619862654]",1
30,261,0.0,-7.0,"[0.09865315121996973, 0.0011985979733635916, 0.02979701203258302, 0.0029460808356809066, 0.24291794911589182, 0.09377135086518573, 0.18057553983831667, 0.0064092677627062495, 0.009064312076676644, 0.08974462588639592, 0.07733391035780211, 8.11648704790277e-06, 0.0779303547276284, 0.0338068479432375, 0.024367214394022712, 0.03147566848349105]",6
31,164,-9.0,2.0,"[0.002094948839099726, 0.00010260874494917281, 0.0027467853918916765, 0.0022504331426101143, 0.00029217882635182256, 0.003521333710029881, 0.06825982488405859, 0.0011546713826087308, 0.0004751526110099917, 0.00021981190092133025, 0.00045324883591912353, 7.390209797694847e-07, 0.000562974985172586, 0.059422912380297774, 0.6202156690167976, 0.23822670632730206]",1
32,216,-6.0,7.0,"[0.00029177695980082724, 1.8220272941991513e-05, 0.0003022631877054394, 0.0003007735883762368, 0.1059049127173597, 0.06920876398573499, 0.13440525987703408, 0.00010578293118390868, 7.749212016007442e-05, 3.3998136991803984e-05, 6.024628234482259e-05, 0.06902916471612308, 0.00018847992867004724, 0.39694984229797065, 0.06520190374285809, 0.15792111925474417]",1
33,253,10.0,0.0,"[0.007173656563267298, 0.02183514757076967, 0.01838627907658259, 0.01840019427954253, 0.02768178849803103, 0.3263842058572095, 0.3191125147458167, 0.01923235804171272, 0.0016103503081061185, 0.0005724093017867916, 0.0006335305794507967, 0.017903680980393365, 0.0251455582290291, 0.008069686709231154, 0.030528156789442824, 0.1573304824696278]",2
34,323,7.0,15.0,"[0.0002904516500722889, 1.4959994124790961e-05, 0.0010058323484040685, 0.001109065760398319, 1.5391873330268318e-05, 0.0, 0.0, 0.0, 0.0, 0.0007502655342554785, 0.0015884839217753346, 0.0, 5.9713598239300496e-06, 4.8657621799733276e-05, 0.9951709199360158, 0.0]",4
35,163,-10.0,1.0,"[0.0012081971508416582, 5.917533283780065e-05, 0.0015841364991080484, 0.00129786847102417, 0.0001685043167227105, 0.00203086033645924, 0.03936916694080484, 0.0006659345695216865, 0.0002740324328604475, 0.0001267725441163294, 0.0002613973324905672, 4.261937827241949e-07, 0.0003246817479235276, 0.07725517750719715, 0.4505448184523293, 0.42482885017197985]",1
36,163,-10.0,1.0,"[0.001435521634993153, 7.030927898431744e-05, 0.001882194653138977, 0.001542064776624236, 0.00020020870937883123, 0.0024129703903090793, 0.04677654706917053, 0.0007912313659838434, 0.000325592131869326, 0.00015062502810517307, 0.0003105797144599339, 5.063829155481384e-07, 0.00038577120737863816, 0.09179087920341591, 0.3471638299913991, 0.5047611684618735]",1
37,188,9.0,1.0,"[0.004928995255476835, 0.015007981369499794, 0.012584726719731138, 0.012594448496837279, 0.01911706635671067, 0.5242787393612114, 0.22795147182726028, 0.01317921137653743, 0.0011318081833211879, 0.0004020991997030929, 0.00044532360739009413, 0.01224543000792654, 0.016996994145603638, 0.005558594123080995, 0.021461453116514227, 0.11211565685319544]",2
38,258,12.0,9.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",4
39,208,0.0,-5.0,"[0.13550042648668006, 0.0011459912876112892, 0.01583696037593038, 0.003286315202232564, 0.1070353397564037, 0.056460111019641435, 0.0873903441772089, 0.0077846223816769805, 0.010687309354617137, 0.05131694554685481, 0.20727554637847165, 7.697440742951192e-06, 0.012905202539867404, 0.020555261065303806, 0.265257000906304, 0.017554926080452875]",6
40,208,0.0,-5.0,"[0.20272066374907613, 0.0017145046735189135, 0.0236934982598894, 0.004916619204521499, 0.16013436771107886, 0.08446933694613401, 0.1307437108222349, 0.01164648597179583, 0.015989163298114572, 0.07677470494055041, 0.14880363980698813, 1.1516054502851623e-05, 0.01930732834228648, 0.030752494842542437, 0.06205823795266632, 0.026263727424099333]",6
41,145,7.0,8.0,"[0.0016161609649090343, 0.008622173935451926, 0.0022981067737747854, 0.002282681620125937, 0.13419089201808168, 0.19417804789838847, 0.1431277979776736, 0.0056448959169616425, 0.002123840846727125, 0.0026821123734376293, 0.0009269522343743763, 0.003527894435941468, 0.0007128685994943051, 0.0035920291176827477, 0.017904759157798596, 0.4765687861291766]",2
42,261,0.0,-7.0,"[0.09035171725784984, 0.0010977387326808218, 0.02728966255009727, 0.002698174963420017, 0.22247696686786633, 0.08588070908517395, 0.24952820844401036, 0.005869942739433403, 0.00830157122971883, 0.08219282367797075, 0.07082644108866192, 7.433503479721247e-06, 0.0713726960475372, 0.030962080065093885, 0.022316769794622524, 0.028827063952383207]",6
43,75,5.0,0.0,"[0.006943146519378738, 0.02532921709507644, 0.005090025413332251, 0.005247716728794512, 0.06081066961634402, 0.04117403719775921, 0.0740164273483764, 0.012646063144684644, 0.007615572350991579, 0.0030012844269780314, 0.0036488499523611414, 0.0021567425582067275, 0.05521464698331952, 0.013278171679521531, 0.5748016973309258, 0.10902573165394928]",2
44,228,-6.0,-4.0,"[0.03180114034964588, 0.0013297971942070569, 0.04357138859351425, 0.03427471154402671, 0.00428614697613715, 0.10133523631443206, 0.199615601991876, 0.0196561037509592, 0.007841963433636209, 0.003916874171350466, 0.006897271130171686, 9.070786214559439e-06, 0.009372779980150289, 0.2944851527440795, 0.10696849555087752, 0.13463826548872132]",1
45,228,-6.0,-4.0,"[0.03180114034964588, 0.0013297971942070569, 0.04357138859351425, 0.03427471154402671, 0.00428614697613715, 0.10133523631443206, 0.199615601991876, 0.0196561037509592, 0.007841963433636209, 0.003916874171350466, 0.006897271130171686, 9.070786214559439e-06, 0.009372779980150289, 0.2944851527440795, 0.10696849555087752, 0.13463826548872132]",1
46,293,0.0,-8.0,"[0.05512608153607023, 0.0007602513655935032, 0.0456835471603789, 0.0017962224981483532, 0.08943494140741579, 0.17379401825627908, 0.1104534440155003, 0.0038182320874087785, 0.005449809188605619, 0.17615748196495012, 0.0721533371958484, 5.154186544605685e-06, 0.15729848154725345, 0.04809768570848758, 0.013689088093853177, 0.04628222378766203]",7
47,228,-6.0,-4.0,"[0.03180114034964588, 0.0013297971942070569, 0.04357138859351425, 0.03427471154402671, 0.00428614697613715, 0.10133523631443206, 0.199615601991876, 0.0196561037509592, 0.007841963433636209, 0.003916874171350466, 0.006897271130171686, 9.070786214559439e-06, 0.009372779980150289, 0.2944851527440795, 0.10696849555087752, 0.13463826548872132]",1
48,192,-5.0,-2.0,"[0.02881983050800352, 0.0010421307069880604, 0.04004204649406331, 0.031072009979680768, 0.0037076506140165805, 0.629002531750487, 0.05278178337373081, 0.018420565982120576, 0.007328015614888083, 0.0038131192047567842, 0.006249455689949583, 7.104948181881887e-06, 0.00882647585454347, 0.05416410081489388, 0.02500917660195913, 0.08971400186173646]",1
49,63,-5.0,0.0,"[0.0759717612347519, 0.002938217414631742, 0.10488552371849119, 0.08187045498224108, 0.00994647032114812, 0.1007985514853464, 0.09895705949020488, 0.0477412790935826, 0.018960311755573014, 0.009694920862050193, 0.01646605429993242, 2.003661527684093e-05, 0.022716526666963142, 0.07279800556563494, 0.043159730855391806, 0.29307509563877976]",1
50,228,-6.0,-4.0,"[0.03180114034964588, 0.0013297971942070569, 0.04357138859351425, 0.03427471154402671, 0.00428614697613715, 0.10133523631443206, 0.199615601991876, 0.0196561037509592, 0.007841963433636209, 0.003916874171350466, 0.006897271130171686, 9.070786214559439e-06, 0.009372779980150289, 0.2944851527440795, 0.10696849555087752, 0.13463826548872132]",1
51,208,0.0,-5.0,"[0.20272066374907613, 0.0017145046735189135, 0.0236934982598894, 0.004916619204521499, 0.16013436771107886, 0.08446933694613401, 0.1307437108222349, 0.01164648597179583, 0.015989163298114572, 0.07677470494055041, 0.14880363980698813, 1.1516054502851623e-05, 0.01930732834228648, 0.030752494842542437, 0.06205823795266632, 0.026263727424099333]",6
52,9,-1.0,2.0,"[0.05211982286309945, 0.008047090084656797, 0.03213470568641212, 0.042895543994878264, 0.018298529720300993, 0.0826764249979231, 0.1378708456183264, 0.062364501574774654, 0.03019376468083457, 0.01591709364541765, 0.10422260678305109, 5.083494594337145e-05, 0.028253048487276933, 0.3300158621623076, 0.006010894228650295, 0.04892843052614671]",5
53,293,0.0,-8.0,"[0.03625444726057007, 0.0004999900640616234, 0.030044430967182255, 0.0011813111328211985, 0.05881815424130492, 0.11429809435941973, 0.07264126978058646, 0.002511114339788534, 0.0035841440984553134, 0.1158524596977618, 0.04745266278956153, 3.3897236851539785e-06, 0.3032913061744974, 0.031632123330457645, 0.009002822412094786, 0.17293227962775148]",7
54,63,-5.0,0.0,"[0.0759717612347519, 0.002938217414631742, 0.10488552371849119, 0.08187045498224108, 0.00994647032114812, 0.1007985514853464, 0.09895705949020488, 0.0477412790935826, 0.018960311755573014, 0.009694920862050193, 0.01646605429993242, 2.003661527684093e-05, 0.022716526666963142, 0.07279800556563494, 0.043159730855391806, 0.29307509563877976]",1
55,131,-9.0,1.0,"[0.003128148487081474, 0.0001500784671502862, 0.004129147182037676, 0.003361775331991353, 0.000434037586571271, 0.00531608878686675, 0.10479940265210907, 0.0017547086361344047, 0.0007176832123743694, 0.00033606413357073717, 0.0006769575842572915, 1.0728247106590827e-06, 0.0008509652078840369, 0.08000384968665644, 0.4749655566855218, 0.3193744635350825]",1
56,30,4.0,5.0,"[0.0037020969668074295, 0.01660394807632478, 0.0035323044947463433, 0.0036422021547371946, 0.2533236464506037, 0.11713742569021524, 0.333686981394373, 0.009789124547235871, 0.004075635245057803, 0.002860446777598277, 0.0021489551591380674, 0.0029096800986922393, 0.024502791318198693, 0.008111963404649335, 0.0324923150671723, 0.18148048315444967]",2
57,278,5.0,-1.0,"[0.004299332294496534, 0.014540625172330356, 0.003205287019250708, 0.0032680725152362208, 0.03037193328151306, 0.02460167469477655, 0.04021622134451685, 0.006915408158274972, 0.004712263883280849, 0.0016992879786296871, 0.0021039866094255248, 0.0014620714047938591, 0.03177730120688276, 0.007618516082036133, 0.7711702863490976, 0.052037732005458366]",2
58,119,7.0,7.0,"[0.0015001724315881098, 0.007310384091263049, 0.0019754893284455034, 0.0019774897334563397, 0.13255616661694022, 0.5476592723794576, 0.12598185585594046, 0.004660748599556233, 0.0018037196722156357, 0.0019381601923048018, 0.0008169496994468179, 0.0026086470324477363, 0.003163255738867093, 0.0031794454270184206, 0.015988042584871555, 0.14688020061618037]",2
59,75,5.0,0.0,"[0.006943146519378738, 0.02532921709507644, 0.005090025413332251, 0.005247716728794512, 0.06081066961634402, 0.04117403719775921, 0.0740164273483764, 0.012646063144684644, 0.007615572350991579, 0.0030012844269780314, 0.0036488499523611414, 0.0021567425582067275, 0.05521464698331952, 0.013278171679521531, 0.5748016973309258, 0.10902573165394928]",2
60,325,2.0,17.0,"[2.9224276799634147e-05, 0.000489498427017331, 0.11739030611331847, 2.8621717037391704e-05, 0.00014516960100579497, 0.03894586988772019, 0.021198376603164266, 0.04881965485516984, 0.04834735452194938, 0.029033324793715294, 0.2988693172371649, 0.17372227397216522, 0.0011180400750134987, 0.0483615032300355, 3.380389761366879e-05, 0.17346766079110956]",4
61,258,12.0,9.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",4
62,308,-6.0,12.0,"[6.306467392096483e-05, 0.0027897593366113943, 0.03130914140977693, 6.184712191430444e-05, 0.00017092311280594833, 0.07545203777026184, 0.002673869632935898, 0.006809504989682176, 0.006065384682900641, 0.07756683927002823, 0.7043955660228925, 0.04293506691358943, 0.0012983432701791399, 0.005986420735697568, 4.77067485733145e-05, 0.04237452430822958]",3
63,34,-3.0,0.0,"[0.11707304872778912, 0.0032828902062348665, 0.07639466239058301, 0.12551578039722966, 0.01316213662810467, 0.10058325535661633, 0.04652112494966145, 0.16586476484100587, 0.028331667415674146, 0.015367502989660973, 0.02533125016223913, 2.2036701306064996e-05, 0.034292309990558316, 0.09151723058333439, 0.0075406149271334605, 0.14919972373286838]",1
64,228,-6.0,-4.0,"[0.03180114034964588, 0.0013297971942070569, 0.04357138859351425, 0.03427471154402671, 0.00428614697613715, 0.10133523631443206, 0.199615601991876, 0.0196561037509592, 0.007841963433636209, 0.003916874171350466, 0.006897271130171686, 9.070786214559439e-06, 0.009372779980150289, 0.2944851527440795, 0.10696849555087752, 0.13463826548872132]",1
65,164,-9.0,2.0,"[0.002094948839099726, 0.00010260874494917281, 0.0027467853918916765, 0.0022504331426101143, 0.00029217882635182256, 0.003521333710029881, 0.06825982488405859, 0.0011546713826087308, 0.0004751526110099917, 0.00021981190092133025, 0.00045324883591912353, 7.390209797694847e-07, 0.000562974985172586, 0.059422912380297774, 0.6202156690167976, 0.23822670632730206]",1
66,333,14.0,4.0,"[0.3618017007681424, 0.02869672111735638, 0.028937261790482408, 0.028935826601878385, 0.028358066127798953, 0.008404212505182966, 0.007883361905660923, 0.028878466948136835, 0.0001084906372239244, 4.250148951742015e-05, 4.099657324301221e-05, 0.02896641390524365, 0.05860730869613079, 0.3618673613021408, 0.0018368000727287813, 0.026634509559132404]",1
67,228,-6.0,-4.0,"[0.03180114034964588, 0.0013297971942070569, 0.04357138859351425, 0.03427471154402671, 0.00428614697613715, 0.10133523631443206, 0.199615601991876, 0.0196561037509592, 0.007841963433636209, 0.003916874171350466, 0.006897271130171686, 9.070786214559439e-06, 0.009372779980150289, 0.2944851527440795, 0.10696849555087752, 0.13463826548872132]",1
68,117,-7.0,-1.0,"[0.010709138382945738, 0.000447855964780323, 0.014654368482846044, 0.011537115584760019, 0.0014371036735776521, 0.018905147593322198, 0.28502703964881065, 0.006585562917826688, 0.0026226267068926576, 0.0013096720169143202, 0.002320916944328245, 3.06815321433342e-06, 0.003127376199115966, 0.0365583095685219, 0.4898299946017826, 0.11492470356036061]",1
69,228,-6.0,-4.0,"[0.03180114034964588, 0.0013297971942070569, 0.04357138859351425, 0.03427471154402671, 0.00428614697613715, 0.10133523631443206, 0.199615601991876, 0.0196561037509592, 0.007841963433636209, 0.003916874171350466, 0.006897271130171686, 9.070786214559439e-06, 0.009372779980150289, 0.2944851527440795, 0.10696849555087752, 0.13463826548872132]",1
70,164,-9.0,2.0,"[0.002094948839099726, 0.00010260874494917281, 0.0027467853918916765, 0.0022504331426101143, 0.00029217882635182256, 0.003521333710029881, 0.06825982488405859, 0.0011546713826087308, 0.0004751526110099917, 0.00021981190092133025, 0.00045324883591912353, 7.390209797694847e-07, 0.000562974985172586, 0.059422912380297774, 0.6202156690167976, 0.23822670632730206]",1
71,119,7.0,7.0,"[0.001988740282094902, 0.009691189501789396, 0.0026188557539143344, 0.002621507639752113, 0.17572632494793938, 0.40034344898688073, 0.16701092906270157, 0.006178635395160895, 0.0023911451071960085, 0.0025693694714206423, 0.0010830093538082635, 0.0034582167529262704, 0.004193447351777559, 0.004214909607917685, 0.021194939762173123, 0.19471533102254723]",2
72,293,0.0,-8.0,"[0.030318190165489298, 0.00041812232673485027, 0.14494582765868458, 0.0009878847500299614, 0.049187344456094274, 0.07448775197749394, 0.06074708063376502, 0.002099947670800561, 0.002997280901194899, 0.0731878964431978, 0.13038799757945368, 2.834694639152127e-06, 0.2536307733517343, 0.1436181020241407, 0.007528711717882825, 0.025454253648664087]",7
73,323,7.0,15.0,"[0.0002904516500722889, 1.4959994124790961e-05, 0.0010058323484040685, 0.001109065760398319, 1.5391873330268318e-05, 0.0, 0.0, 0.0, 0.0, 0.0007502655342554785, 0.0015884839217753346, 0.0, 5.9713598239300496e-06, 4.8657621799733276e-05, 0.9951709199360158, 0.0]",4
74,333,14.0,4.0,"[0.41885203796376813, 0.016858292563925792, 0.01699960156659891, 0.016998758444861338, 0.01665934492566271, 0.004937172877778246, 0.004631191865071953, 0.016965061709259176, 6.373435122737621e-05, 2.496809798433516e-05, 2.408401374577601e-05, 0.017016727386566018, 0.03442968805889501, 0.4188134647592713, 0.001079054045264199, 0.01564681737011969]",1
75,266,-8.0,7.0,"[0.00011625058503160941, 1.0665525515896055e-05, 0.00012079664276553333, 0.00012056359891312641, 0.03376548595294058, 0.2522419010113468, 0.13484515360291607, 3.592473024972859e-05, 2.1296544044393084e-05, 1.3619691147487423e-05, 2.4705250431304866e-05, 0.2523090402406428, 0.00026030271337364283, 0.15749374217862555, 0.11740835400891142, 0.051212197723144046]",1
76,315,-1.0,15.0,"[1.758220513327304e-05, 0.00030495680479521815, 0.22668602230775142, 1.721541324431218e-05, 9.086091998770442e-05, 0.0342549807021885, 0.02254705298071688, 0.04999323199861201, 0.0496962047609976, 0.02564808722163089, 0.19257809755774788, 0.1737834052414711, 0.0007002643454574243, 0.049705007772170635, 2.0957948293786557e-05, 0.17395607181980138]",3
77,230,2.0,12.0,"[4.299491646091924e-05, 0.0007708645032604343, 0.018434675576669075, 4.208706014894702e-05, 0.0002308556833453627, 0.220113250415303, 0.16662262362384023, 0.04460326602520783, 0.04536124257755032, 0.16985110725391714, 0.23947555001549892, 0.02340631397028696, 0.0017804061341005978, 0.0453389718621995, 5.2775279491054766e-05, 0.02387301510271984]",7
78,253,10.0,0.0,"[0.007173656563267298, 0.02183514757076967, 0.01838627907658259, 0.01840019427954253, 0.02768178849803103, 0.3263842058572095, 0.3191125147458167, 0.01923235804171272, 0.0016103503081061185, 0.0005724093017867916, 0.0006335305794507967, 0.017903680980393365, 0.0251455582290291, 0.008069686709231154, 0.030528156789442824, 0.1573304824696278]",2
