output,Id,Species,hit_count,x,y,cluster
213,"['79', '81']","['Iris-versicolor', 'Iris-versicolor']",2,-9.0,-1.0,2.0
219,['41'],['Iris-setosa'],1,4.0,9.0,
221,"['57', '60', '93']","['Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor']",3,-9.0,0.0,2.0
222,['98'],['Iris-versicolor'],1,-8.0,1.0,
224,"['50', '52', '76', '86']","['Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor']",4,-3.0,-10.0,3.0
225,"['123', '133']","['Iris-virginica', 'Iris-virginica']",2,-2.0,-11.0,3.0
228,['124'],['Iris-virginica'],1,0.0,-13.0,
229,"['66', '84']","['Iris-versicolor', 'Iris-versicolor']",2,4.0,-8.0,3.0
230,['8'],['Iris-setosa'],1,5.0,8.0,
232,['43'],['Iris-setosa'],1,7.0,-2.0,
234,['82'],['Iris-versicolor'],1,-8.0,-4.0,
235,"['83', '146', '149']","['Iris-versicolor', 'Iris-virginica', 'Iris-virginica']",3,3.0,-11.0,3.0
242,"['110', '147']","['Iris-virginica', 'Iris-virginica']",2,-2.0,-12.0,3.0
247,['61'],['Iris-versicolor'],1,-6.0,-7.0,
248,"['101', '113', '114', '121', '142']","['Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica']",5,4.0,-10.0,3.0
250,"['72', '119']","['Iris-versicolor', 'Iris-virginica']",2,-4.0,-10.0,3.0
252,"['103', '111', '116', '134', '137']","['Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica']",5,1.0,-13.0,3.0
253,['129'],['Iris-virginica'],1,0.0,-14.0,
254,['78'],['Iris-versicolor'],1,-5.0,-8.0,
257,['104'],['Iris-virginica'],1,2.0,-13.0,
258,"['90', '94']","['Iris-versicolor', 'Iris-versicolor']",2,-8.0,-5.0,2.0
265,['44'],['Iris-setosa'],1,7.0,-3.0,
266,"['112', '139', '141', '145']","['Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica']",4,-2.0,-13.0,3.0
268,"['100', '115', '136', '140', '144', '148']","['Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica']",6,1.0,-14.0,3.0
274,['22'],['Iris-setosa'],1,7.0,3.0,
276,"['53', '59', '89', '106']","['Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor', 'Iris-virginica']",4,-9.0,-4.0,2.0
278,"['102', '120', '143']","['Iris-virginica', 'Iris-virginica', 'Iris-virginica']",3,2.0,-14.0,3.0
279,"['13', '38']","['Iris-setosa', 'Iris-setosa']",2,6.0,7.0,1.0
281,"['62', '67', '92']","['Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor']",3,-9.0,-5.0,2.0
282,"['68', '87']","['Iris-versicolor', 'Iris-versicolor']",2,-6.0,-8.0,3.0
283,['77'],['Iris-versicolor'],1,-4.0,-12.0,
285,"['105', '107', '109', '117', '118', '122', '125', '130', '131', '135']","['Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica', 'Iris-virginica']",10,1.0,-15.0,3.0
286,['108'],['Iris-virginica'],1,-2.0,-14.0,
287,"['128', '132']","['Iris-virginica', 'Iris-virginica']",2,0.0,-15.0,3.0
289,"['29', '30']","['Iris-setosa', 'Iris-setosa']",2,-4.0,6.0,1.0
291,['12'],['Iris-setosa'],1,0.0,9.0,
