output,Id,Species,hit_count,x,y
404,"[21, 37]","['Iris-setosa', 'Iris-setosa']",2,2.0,-13.0
407,"[24, 44]","['Iris-setosa', 'Iris-setosa']",2,-2.0,-13.0
408,[27],['Iris-setosa'],1,-3.0,-14.0
413,[90],['Iris-versicolor'],1,-15.0,-4.0
414,"[67, 85]","['Iris-versicolor', 'Iris-versicolor']",2,-8.0,-7.0
417,"[64, 92]","['Iris-versicolor', 'Iris-versicolor']",2,-4.0,-7.0
427,[110],['Iris-virginica'],1,4.0,11.0
429,[15],['Iris-setosa'],1,13.0,-4.0
433,[56],['Iris-versicolor'],1,-11.0,-7.0
458,[65],['Iris-versicolor'],1,-9.0,-12.0
479,[19],['Iris-setosa'],1,9.0,-7.0
486,[86],['Iris-versicolor'],1,9.0,-1.0
490,[54],['Iris-versicolor'],1,-16.0,-2.0
493,[100],['Iris-versicolor'],1,-11.0,-9.0
495,[57],['Iris-versicolor'],1,7.0,-3.0
498,[84],['Iris-versicolor'],1,-12.0,1.0
499,[62],['Iris-versicolor'],1,-7.0,-6.0
506,[108],['Iris-virginica'],1,-6.0,9.0
509,"[118, 132]","['Iris-virginica', 'Iris-virginica']",2,3.0,15.0
530,"[68, 83]","['Iris-versicolor', 'Iris-versicolor']",2,-13.0,-10.0
538,[34],['Iris-setosa'],1,14.0,-6.0
541,[71],['Iris-versicolor'],1,9.0,0.0
543,[17],['Iris-setosa'],1,10.0,-8.0
548,[91],['Iris-versicolor'],1,-13.0,-6.0
552,[95],['Iris-versicolor'],1,-12.0,-6.0
559,"[58, 61, 94, 99]","['Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor', 'Iris-versicolor']",4,-18.0,-3.0
561,"[81, 82]","['Iris-versicolor', 'Iris-versicolor']",2,-17.0,-4.0
574,[145],['Iris-virginica'],1,9.0,9.0
577,"[7, 12, 25]","['Iris-setosa', 'Iris-setosa', 'Iris-setosa']",3,-4.0,-15.0
579,[18],['Iris-setosa'],1,0.0,-16.0
580,"[1, 28, 29, 40]","['Iris-setosa', 'Iris-setosa', 'Iris-setosa', 'Iris-setosa']",4,2.0,-16.0
581,"[5, 23, 41]","['Iris-setosa', 'Iris-setosa', 'Iris-setosa']",3,1.0,-17.0
588,[6],['Iris-setosa'],1,9.0,-8.0
592,[137],['Iris-virginica'],1,13.0,6.0
593,[149],['Iris-virginica'],1,13.0,4.0
599,[79],['Iris-versicolor'],1,-6.0,-6.0
600,[63],['Iris-versicolor'],1,-16.0,-1.0
605,[22],['Iris-setosa'],1,5.0,-11.0
612,"[26, 46]","['Iris-setosa', 'Iris-setosa']",2,-8.0,-15.0
618,[70],['Iris-versicolor'],1,-16.0,-10.0
619,[93],['Iris-versicolor'],1,-15.0,-9.0
620,[80],['Iris-versicolor'],1,-15.0,-11.0
624,"[119, 123]","['Iris-virginica', 'Iris-virginica']",2,-2.0,15.0
631,[33],['Iris-setosa'],1,12.0,-9.0
634,[135],['Iris-virginica'],1,-13.0,5.0
639,[60],['Iris-versicolor'],1,-15.0,-5.0
641,"[69, 88, 120]","['Iris-versicolor', 'Iris-versicolor', 'Iris-virginica']",3,-15.0,2.0
642,[73],['Iris-versicolor'],1,-14.0,3.0
644,"[4, 43, 48]","['Iris-setosa', 'Iris-setosa', 'Iris-setosa']",3,-8.0,-16.0
647,[101],['Iris-virginica'],1,15.0,5.0
652,[16],['Iris-setosa'],1,16.0,-5.0
661,[109],['Iris-virginica'],1,-9.0,6.0
664,"[20, 47]","['Iris-setosa', 'Iris-setosa']",2,9.0,-11.0
665,[131],['Iris-virginica'],1,-5.0,12.0
668,"[2, 10, 13, 35, 38]","['Iris-setosa', 'Iris-setosa', 'Iris-setosa', 'Iris-setosa', 'Iris-setosa']",5,-8.0,-17.0
669,[36],['Iris-setosa'],1,-6.0,-17.0
670,[31],['Iris-setosa'],1,-7.0,-18.0
675,[8],['Iris-setosa'],1,-3.0,-16.0
676,[50],['Iris-setosa'],1,-4.0,-17.0
677,"[9, 14, 39, 42]","['Iris-setosa', 'Iris-setosa', 'Iris-setosa', 'Iris-setosa']",4,-9.0,-16.0
684,"[11, 49]","['Iris-setosa', 'Iris-setosa']",2,6.0,-14.0
685,[130],['Iris-virginica'],1,-8.0,9.0
686,[126],['Iris-virginica'],1,-7.0,10.0
687,"[3, 30]","['Iris-setosa', 'Iris-setosa']",2,-6.0,-18.0
